# os02k10_init.txt
#
# Recovered OS02K10 sensor initialization write sequence: 2-lane MIPI,
# 1920x1080, 10-bit linear mode, 60 FPS (matches boot-log
# "sensor=os02k10" / "OS02K10_2Lane_60FPS_10BIT_LINEAR_MODE").
#
# Source: ar_ldyhs_sky (Ascent_H_Sky_18_21_10 firmware, fpv/ partition),
# function at 0x000fb890 (called from os02k10_init @ 0x000fcb28), recovered
# via Ghidra decompilation cross-checked against a from-scratch ARM/Thumb
# disassembly walk (see OS02K10_ASCENT_REGISTER_RE.md for method).
#
# Format: SEQ  WRITE  0xREG  0xVAL   |   SEQ  DELAY  Nms
# Order and duplicate writes are preserved exactly as compiled; do not
# collapse or reorder them.
#
0001 WRITE 0x0103 0x01
0002 DELAY 10ms
0003 WRITE 0x0109 0x01
0004 WRITE 0x0104 0x02
0005 WRITE 0x0102 0x00
0006 WRITE 0x0305 0x5c
0007 WRITE 0x0306 0x00
0008 WRITE 0x0307 0x00
0009 WRITE 0x030a 0x01
0010 WRITE 0x0317 0x09
0011 WRITE 0x0323 0x07
0012 WRITE 0x0324 0x01
0013 WRITE 0x0325 0xb0
0014 WRITE 0x0327 0x07
0015 WRITE 0x032c 0x02
0016 WRITE 0x032d 0x02
0017 WRITE 0x032e 0x05
0018 WRITE 0x300f 0x11
0019 WRITE 0x3012 0x41
0020 WRITE 0x3026 0x10
0021 WRITE 0x3027 0x08
0022 WRITE 0x302d 0x24
0023 WRITE 0x3103 0x29
0024 WRITE 0x3106 0x10
0025 WRITE 0x3400 0x00
0026 WRITE 0x3406 0x08
0027 WRITE 0x3408 0x05
0028 WRITE 0x340c 0x05
0029 WRITE 0x3425 0x51
0030 WRITE 0x3426 0x10
0031 WRITE 0x3427 0x14
0032 WRITE 0x3428 0x10
0033 WRITE 0x3429 0x10
0034 WRITE 0x342a 0x10
0035 WRITE 0x342b 0x04
0036 WRITE 0x3504 0x08
0037 WRITE 0x3508 0x01
0038 WRITE 0x3509 0x00
0039 WRITE 0x3544 0x08
0040 WRITE 0x3548 0x01
0041 WRITE 0x3549 0x00
0042 WRITE 0x3584 0x08
0043 WRITE 0x3588 0x01
0044 WRITE 0x3589 0x00
0045 WRITE 0x3601 0x70
0046 WRITE 0x3604 0xe3
0047 WRITE 0x3605 0x7f
0048 WRITE 0x3606 0x00
0049 WRITE 0x3608 0xa8
0050 WRITE 0x360a 0xd0
0051 WRITE 0x360b 0x08
0052 WRITE 0x360e 0xc8
0053 WRITE 0x360f 0x66
0054 WRITE 0x3610 0x81
0055 WRITE 0x3611 0x89
0056 WRITE 0x3612 0x4e
0057 WRITE 0x3613 0xbd
0058 WRITE 0x362a 0x0e
0059 WRITE 0x362b 0x0e
0060 WRITE 0x362c 0x0e
0061 WRITE 0x362d 0x0e
0062 WRITE 0x362e 0x0c
0063 WRITE 0x362f 0x1a
0064 WRITE 0x3630 0x32
0065 WRITE 0x3631 0x64
0066 WRITE 0x3638 0x00
0067 WRITE 0x3643 0x00
0068 WRITE 0x3644 0x00
0069 WRITE 0x3645 0x00
0070 WRITE 0x3646 0x00
0071 WRITE 0x3647 0x00
0072 WRITE 0x3648 0x00
0073 WRITE 0x3649 0x00
0074 WRITE 0x364a 0x04
0075 WRITE 0x364c 0x0e
0076 WRITE 0x364d 0x0e
0077 WRITE 0x364e 0x0e
0078 WRITE 0x364f 0x0e
0079 WRITE 0x3650 0xff
0080 WRITE 0x3651 0xff
0081 WRITE 0x3661 0x07
0082 WRITE 0x3662 0x02
0083 WRITE 0x3663 0x20
0084 WRITE 0x3665 0x12
0085 WRITE 0x3667 0xd4
0086 WRITE 0x3668 0x80
0087 WRITE 0x366f 0x00
0088 WRITE 0x3670 0xc7
0089 WRITE 0x3671 0x08
0090 WRITE 0x3673 0x2a
0091 WRITE 0x3681 0x80
0092 WRITE 0x3700 0x26
0093 WRITE 0x3701 0x1e
0094 WRITE 0x3702 0x25
0095 WRITE 0x3703 0x28
0096 WRITE 0x3706 0x3e
0097 WRITE 0x3707 0x0a
0098 WRITE 0x3708 0x36
0099 WRITE 0x3709 0x55
0100 WRITE 0x370a 0x00
0101 WRITE 0x370b 0xa3
0102 WRITE 0x3714 0x01
0103 WRITE 0x371b 0x16
0104 WRITE 0x371c 0x00
0105 WRITE 0x371d 0x08
0106 WRITE 0x3756 0x9b
0107 WRITE 0x3757 0x9b
0108 WRITE 0x3762 0x1d
0109 WRITE 0x376c 0x00
0110 WRITE 0x3776 0x05
0111 WRITE 0x3777 0x22
0112 WRITE 0x3779 0x60
0113 WRITE 0x377c 0x48
0114 WRITE 0x3783 0x02
0115 WRITE 0x3784 0x06
0116 WRITE 0x3785 0x0a
0117 WRITE 0x3790 0x10
0118 WRITE 0x3793 0x04
0119 WRITE 0x3794 0x07
0120 WRITE 0x3796 0x00
0121 WRITE 0x3797 0x02
0122 WRITE 0x379c 0x4d
0123 WRITE 0x37a1 0x80
0124 WRITE 0x37bb 0x88
0125 WRITE 0x37bd 0x01
0126 WRITE 0x37be 0x01
0127 WRITE 0x37bf 0x00
0128 WRITE 0x37c0 0x01
0129 WRITE 0x37c7 0x56
0130 WRITE 0x37ca 0x21
0131 WRITE 0x37cc 0x13
0132 WRITE 0x37cd 0x90
0133 WRITE 0x37cf 0x02
0134 WRITE 0x37d1 0x3e
