register,value,group,meaning
0x0103,0x01,core,software_reset (self-clearing)
0x0109,0x01,unknown,unknown
0x0104,0x02,unknown,unknown
0x0102,0x00,unknown,unknown
0x0305,0xf9,unknown,unknown
0x0306,0x00,unknown,unknown
0x0307,0x00,unknown,unknown
0x030a,0x01,unknown,unknown
0x0317,0x09,unknown,unknown
0x0323,0x07,unknown,unknown
0x0324,0x01,unknown,unknown
0x0325,0xb0,unknown,unknown
0x0327,0x07,unknown,unknown
0x032c,0x02,unknown,unknown
0x032d,0x02,unknown,unknown
0x032e,0x05,unknown,unknown
0x300f,0x11,PLL/clock configuration (unknown detail),unknown
0x3012,0x21,PLL/clock configuration (unknown detail),unknown
0x3026,0x10,PLL/clock configuration (unknown detail),unknown
0x3027,0x08,PLL/clock configuration (unknown detail),unknown
0x302d,0x24,PLL/clock configuration (unknown detail),unknown
0x3103,0x29,PLL/clock configuration (unknown detail),unknown
0x3106,0x10,PLL/clock configuration (unknown detail),unknown
0x3400,0x00,reserved/analog trim (unknown detail),unknown
0x3406,0x08,reserved/analog trim (unknown detail),unknown
0x3408,0x05,reserved/analog trim (unknown detail),unknown
0x340c,0x05,reserved/analog trim (unknown detail),unknown
0x3425,0x51,reserved/analog trim (unknown detail),unknown
0x3426,0x10,reserved/analog trim (unknown detail),unknown
0x3427,0x14,reserved/analog trim (unknown detail),unknown
0x3428,0x10,reserved/analog trim (unknown detail),unknown
0x3429,0x10,reserved/analog trim (unknown detail),unknown
0x342a,0x10,reserved/analog trim (unknown detail),unknown
0x342b,0x04,reserved/analog trim (unknown detail),unknown
0x3504,0x08,unknown,unknown
0x3508,0x01,unknown,unknown
0x3509,0x00,unknown,unknown
0x3544,0x08,unknown,unknown
0x3548,0x01,unknown,unknown
0x3549,0x00,unknown,unknown
0x3584,0x08,unknown,unknown
0x3588,0x01,unknown,unknown
0x3589,0x00,unknown,unknown
0x3601,0x70,analog/timing block (unknown detail),unknown
0x3604,0xe3,analog/timing block (unknown detail),unknown
0x3605,0x7f,analog/timing block (unknown detail),unknown
0x3606,0x00,analog/timing block (unknown detail),unknown
0x3608,0xa8,analog/timing block (unknown detail),unknown
0x360a,0xd0,analog/timing block (unknown detail),unknown
0x360b,0x08,analog/timing block (unknown detail),unknown
0x360e,0xc8,analog/timing block (unknown detail),unknown
0x360f,0x66,analog/timing block (unknown detail),unknown
0x3610,0x81,analog/timing block (unknown detail),unknown
0x3611,0x89,analog/timing block (unknown detail),unknown
0x3612,0x4e,analog/timing block (unknown detail),unknown
0x3613,0xbd,analog/timing block (unknown detail),unknown
0x362a,0x0e,analog/timing block (unknown detail),unknown
0x362b,0x0e,analog/timing block (unknown detail),unknown
0x362c,0x0e,analog/timing block (unknown detail),unknown
0x362d,0x0e,analog/timing block (unknown detail),unknown
0x362e,0x0c,analog/timing block (unknown detail),unknown
0x362f,0x1a,analog/timing block (unknown detail),unknown
0x3630,0x32,analog/timing block (unknown detail),unknown
0x3631,0x64,analog/timing block (unknown detail),unknown
0x3638,0x00,analog/timing block (unknown detail),unknown
0x3643,0x00,analog/timing block (unknown detail),unknown
0x3644,0x00,analog/timing block (unknown detail),unknown
0x3645,0x00,analog/timing block (unknown detail),unknown
0x3646,0x00,analog/timing block (unknown detail),unknown
0x3647,0x00,analog/timing block (unknown detail),unknown
0x3648,0x00,analog/timing block (unknown detail),unknown
0x3649,0x00,analog/timing block (unknown detail),unknown
0x364a,0x04,analog/timing block (unknown detail),unknown
0x364c,0x0e,analog/timing block (unknown detail),unknown
0x364d,0x0e,analog/timing block (unknown detail),unknown
0x364e,0x0e,analog/timing block (unknown detail),unknown
0x364f,0x0e,analog/timing block (unknown detail),unknown
0x3650,0xff,analog/timing block (unknown detail),unknown
0x3651,0xff,analog/timing block (unknown detail),unknown
0x3661,0x07,analog/timing block (unknown detail),unknown
0x3662,0x02,analog/timing block (unknown detail),unknown
